Character,Equip,Strategy,Blessing,Journeys,Turns,DPS,MaxHit,Stats
프레이,통찰4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3259.95,28238.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3266.86,28238.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",5,3275.8,23446.32,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3760.59,35742.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3742.84,35742.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",5,2793.33,20325.11,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3177.84,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3184.39,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",5,3193.0,22850.42,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3664.91,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3647.47,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",5,2793.33,20325.11,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3177.84,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3184.39,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",5,3193.0,22850.42,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",10,3664.91,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,통찰4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 친구들과의 산책 | 하늘의 심판 | 불굴의 역작",15,3647.47,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.41, 'cd': 0.8}"
프레이,파괴4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3172.8,24555.23,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3584.6,31714.47,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3597.99,31714.47,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3627.88,27614.56,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,4133.01,40142.03,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
